Species 1,Species 2,Mole frac species 1,Mole frac species 2,Temp (K),Author,type,Link
KCl,ZrCl4,1,0,1051.1,Morozov and Sun (1959),,
KCl,ZrCl4,0.96,0.04,1030.8,Morozov and Sun (1959),,
KCl,ZrCl4,0.91,0.09,1012.2,Morozov and Sun (1959),,
KCl,ZrCl4,0.86,0.14,986,Morozov and Sun (1959),,
KCl,ZrCl4,0.76,0.24,866.7,Morozov and Sun (1959),,
KCl,ZrCl4,0.96,0.04,857.4,Morozov and Sun (1959),,
KCl,ZrCl4,0.91,0.09,863.3,Morozov and Sun (1959),,
KCl,ZrCl4,0.86,0.14,865.8,Morozov and Sun (1959),,
KCl,ZrCl4,0.81,0.19,869.2,Morozov and Sun (1959),,
KCl,ZrCl4,0.8,0.2,898,Morozov and Sun (1959),,
KCl,ZrCl4,0.72,0.28,979.2,Morozov and Sun (1959),,
KCl,ZrCl4,0.66,0.34,1068.9,Morozov and Sun (1959),,
KCl,ZrCl4,0.56,0.44,897.1,Morozov and Sun (1959),,
KCl,ZrCl4,0.51,0.49,830.3,Morozov and Sun (1959),,
KCl,ZrCl4,0.46,0.54,614.5,Morozov and Sun (1959),,
KCl,ZrCl4,0.42,0.58,494.3,Morozov and Sun (1959),,
KCl,ZrCl4,0.24,0.76,618.7,Morozov and Sun (1959),,
KCl,ZrCl4,0,1,710.9,Morozov and Sun (1959),,
KCl,ZrCl4,0.55,0.45,494.3,Morozov and Sun (1959),,
KCl,ZrCl4,0.51,0.49,493.5,Morozov and Sun (1959),,
KCl,ZrCl4,0.46,0.54,494.3,Morozov and Sun (1959),,
KCl,ZrCl4,0.24,0.76,501.9,Morozov and Sun (1959),,
KCl,ZrCl4,0.72,0.28,862.4,Morozov and Sun (1959),,
KCl,ZrCl4,0.91,0.09,803.2,Morozov and Sun (1959),,
KCl,ZrCl4,0.86,0.14,800.7,Morozov and Sun (1959),,
KCl,ZrCl4,0.81,0.19,801.5,Morozov and Sun (1959),,
KCl,ZrCl4,0.76,0.24,801.5,Morozov and Sun (1959),,
KCl,ZrCl4,0.72,0.28,803.2,Morozov and Sun (1959),,
KCl,ZrCl4,0.52,0.48,716.4,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.5,0.5,693,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.48,0.52,672.6,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.46,0.54,647,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.43,0.57,617.4,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.41,0.59,584.5,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.42,0.58,587,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.4,0.6,558.2,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.39,0.61,550.1,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.38,0.62,538,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.37,0.63,542.1,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.37,0.63,544.6,Howell et al. (1957),,doi.org/10.1007/BF03398479
KCl,ZrCl4,0.34,0.66,553,Howell et al. (1957),,doi.org/10.1007/BF03398479
